ID,大学ID,大学名（日本語）,学群ID,学科名（中文）,学科名（日本語）,学科名（英語）,学群（中文）,学群（日本語）,全英語授課,個人申請定員,聯合分發定員,TOCFL要件,面接あり,出願書類数,学科サイト（中文）,学科紹介（中文）,翻訳状態
10101,01,国立台湾大学,9,中國文學系,中国文学系,Department of Chinese Literature,文史哲學群,文学・歴史・哲学系,,0,9,,,0,http://www.cl.ntu.edu.tw/,本系之教育目標及課程設計，涵蓋中國語言文字、文學、文獻及思想等範疇，古今並重，與大陸中文系有所區別，亦較臺灣其他研究型大學的中文系完整，其中以強調原典之閱讀最具特色。本系專任教師50餘名，兼任教師20餘名，專長遍及各領域，建議申請人應於申請前至本系網頁充分了解教師研究方向及課程設計，以利研究規劃。,ai_draft
10102,01,国立台湾大学,8,外國語文學系,外国語文学系,Department of Foreign Languages and Literatures,外語學群,外国語学系,,0,11,,,0,http://www.forex.ntu.edu.tw/,本系教學宗旨在培養深具人文素養之高級外語及學術研究人才，訓練學生獨立與批判性思考，並推動外國語文學研究，藉深入了解西洋文學與文化，提升語言訓練之層次，並為全球文化開拓更寬廣的視野，激盪學術與創作之發展。 本系以英美文學、西洋文學、西方文化思潮及跨文化研究為主軸，提供專業領域課程以鍛鍊深入人本及文化本位思考，探討理論及文本之相互影響，並以全球化之大經濟環境框架下之在地觀點，為西方文學及文化做見解及詮,ai_draft
10103,01,国立台湾大学,9,歷史學系,歴史学系,Department of History,文史哲學群,文学・歴史・哲学系,,0,6,,,0,http://www.history.ntu.edu.tw/,"一、強烈建議申請人中文程度應達「華語文能力測驗」高階級第 4 級以上。 
二、歷史系課程必須閱讀大量中文古籍與歷史資料，文言文閱讀能力不佳者，請勿選填本系。",ai_draft
10104,01,国立台湾大学,9,哲學系,哲学系,Department of Philosophy,文史哲學群,文学・歴史・哲学系,,0,5,,,0,https://philo.ntu.edu.tw/home.jsp?lang=tw,臺大哲學系成立於1928年，是國內歷史最為悠久的哲學系。本系師資結構多元，研究專長涵蓋東方哲學、歐陸哲學、英美哲學各個領域，國籍包含臺灣、香港、美國、日本、德國、比利時等地。因此，本系學生預期可以得到最全面的哲學訓練，並能培養跨文化的國際視野。而建基於本系的多元，我們將會進一步發展東西哲學會通的方向。期望學系能夠闡揚哲學理論的實踐功能，開發東西哲學傳統資源回應當前議題；同時增強學生的人文素養與思辨,ai_draft
10105,01,国立台湾大学,14,人類學系,人類学系,Department of Anthropology,社會與心理學群,社会学・心理学系,,0,4,,,0,http://anthro.ntu.edu.tw/,培養具人類學多元文化視野的人才。一方面透過基礎理論課程、區域民族誌與專題等課程，期許畢業生具備理解人類社會文化發展歷程的能力，以及理解文化多元性、包容差異並能關懷、反省當代社會問題的素養。另一方面，本系鼓勵學生通過選修、雙修或輔系等方式廣泛地接觸跨系所的 相關課程以開拓視野，落實通才培育的目標，並作為學生未來進修時執行研究的基礎。,ai_draft
10106,01,国立台湾大学,1,圖書資訊學系,図書資訊学系,Department of Library and Information Science,資訊學群,情報学系,,0,5,,,0,https://www.lis.ntu.edu.tw/,臺大圖書資訊學系致力於培養學生的資訊能力、推廣資訊素養； 培育圖書館與各式資訊服務機構所需專業人才並培育圖書資訊學相關領域師資、 以及圖書資訊學學術研究人員，以提升圖書資訊學之研究水準。 * 語文能力應達程度--- >>中文能力：相當於 CEFR (高階級 B2 (含)以上) >>英文能力：相當於 CEFR (高階級 B2 (含)以上) (相關檢測對照表請參見本校國際事務處>學位生>語言能力要求頁,ai_draft
10107,01,国立台湾大学,8,日本語文學系,日本語文学系,Department of Japanese Language and Literature,外語學群,外国語学系,,0,1,,,0,https://japan.ntu.edu.tw/,本系為培養學生學習及研究日本語文能力，進而造就專業人才，於民國83年奉准成立，為國立大學中首設之日文系。並為延續且落實學士班教育目標，培養具專業日文素養及國際觀之多元人才，於民國92年成立碩士班。,ai_draft
10108,01,国立台湾大学,17,戲劇學系,戯劇学系,Department of Drama and Theatre,藝術學群,芸術学系,,0,2,,,0,http://theatre.ntu.edu.tw/,本校於1999年成立戲劇學系學士班，授予文學學士學位（Bachelor of Arts），每年平均招收學生35～40名（男女各半），為國家培育未來的戲劇教育研究人員、展演技術人員、設計工作者、編導與演藝人員、創意行銷及傳播與媒體從業人員。 本系課程兼顧理論與實務、美學與技法、傳統與現代、東方與西方，希望在厚實的人文基礎上提供全面、均衡的戲劇教育，讓每位學生得以於戲劇各個層面如歷史、理論、編創、表導,ai_draft
10109,01,国立台湾大学,11,法律學系法學組,法律学系法学組,"Department of Law, Legal Science Division",法政學群,法学・政治学系,,0,5,,,0,http://www.law.ntu.edu.tw/,（一）本系採嚴格篩選制度，對法學修習無興趣者請勿申請。（二）本系重視國語文能力，且畢業學分為130學分，課業繁重，如本國語文能力不佳或無法應付繁重課業者，請勿申請。,ai_draft
10110,01,国立台湾大学,11,法律學系司法組,法律学系司法組,"Department of Law, Adjudication Division",法政學群,法学・政治学系,,0,5,,,0,http://www.law.ntu.edu.tw/,（一）本系採嚴格篩選制度，對法學修習無興趣者請勿申請。（二）本系重視國語文能力，且畢業學分為130學分，課業繁重，如本國語文能力不佳或無法應付繁重課業者，請勿申請。,ai_draft
10111,01,国立台湾大学,11,法律學系財經法學組,法律学系財経法学組,"Department of Law, Economic and Financial Law Division",法政學群,法学・政治学系,,0,5,,,0,http://www.law.ntu.edu.tw/,（一）本系採嚴格篩選制度，對法學修習無興趣者請勿申請。（二）本系重視國語文能力，且畢業學分為130學分，課業繁重，如本國語文能力不佳或無法應付繁重課業者，請勿申請。,ai_draft
