ID,学群名（中文）,学群名（日本語）,学群名（英語）,学科数
1,資訊學群,情報学系,Information Group,169
2,工程學群,工学系,Engineering Group,362
3,數理化學群,数理化学系,"Mathematics, Physics and Chemistry Group",110
4,醫藥衛生學群,医療衛生学系,Medical Health Group,223
5,生命科學學群,生命科学系,Life Science Group,57
6,生物資源學群,生物資源学系（農林水産）,"Agriculture, Forestry, Fishery and Husbandry Group",52
7,地球與環境學群,地球環境学系,Earth and Environment Group,32
8,外語學群,外国語学系,Foreign Language Group,122
9,文史哲學群,文学・歴史・哲学系,"Literature, History and Philosophy Group",94
10,教育學群,教育学系,Education Group,83
11,法政學群,法学・政治学系,Law and Politics Group,55
12,管理學群,経営管理学系,Management Group,351
13,財經學群,金融経済学系,Finance and Economics Group,134
14,社會與心理學群,社会学・心理学系,Social and Psychology Group,89
15,大眾傳播學群,マスコミ・メディア学系,Mass Communication Group,55
16,建築與設計學群,建築・デザイン学系,Architecture and Design Group,146
17,藝術學群,芸術学系,Fine Art Group,132
18,遊憩與運動學群,スポーツ・レジャー学系,Physical Education and Leisure Group,105
