ID,大学名（中文）,大学名（日本語）,大学名（英語）,種別,地域,住所,電話,サイト（中文）,サイト（英語）,寮あり,奨学金あり,奨学金URL,財力証明（金額）,財力証明（日本円目安）,語学要件（中国語）,語学要件（英語）,日本語概要,学科数,学生数（全体）,留学生数,日本人留学生数,補完レベル,データソース
01,國立臺灣大學,国立台湾大学,National Taiwan University,國立大學,台北,106319臺北市羅斯福路4段1號,886-2-33662007#271,https://www.ntu.edu.tw/,https://www.ntu.edu.tw/english/index.html,○,○,https://gocfs.ntu.edu.tw/,"NTD 200,000",約100万円,最低A2（B2望ましい）,IELTS5.5/TOEFL72/TOEIC785,"1928年に設立
台湾No.1の大学
交通が良く立地が良い
キャンパス外は飲食店が充実している
MRT公館駅に接している",59,33422,3380,194,full,hailian+spreadsheet+guide
04,國立暨南國際大學,国立暨南国際大学,National Chi Nan University,國立大學,南投,545301南投縣埔里鎮大學路1號,886-49-2918305,https://www.ncnu.edu.tw/,https://www.ncnu.edu.tw/?Lang=en,○,○,https://oia.ncnu.edu.tw/,,,,,,25,,,,basic,hailian
07,國立臺灣師範大學,国立台湾師範大学,National Taiwan Normal University,國立大學,台北,106209臺北市和平東路1段162號,886-2-7749-1283,https://www.ntnu.edu.tw/,http://en.ntnu.edu.tw/,○,○,https://bds.oia.ntnu.edu.tw/bds/web/oc-scholarship,"NTD 150,000",約75万円,TOCFL A2,CEFR B1,,37,,,,enriched,hailian+spreadsheet
11,國立陽明交通大學,国立陽明交通大学,National Yang Ming Chiao Tung University,國立大學,台北,300093新竹市大學路1001號(交大校區)；112304台北市北投區立農街二段155號(陽明校區),886-3-5712121*50135(交大校區)；886-2-28250496(陽明校區),https://www.nycu.edu.tw,https://www.nycu.edu.tw/en/,○,○,https://oia.nycu.edu.tw/oia/ch/app/data/list?module=nycu0014&id=4681,,,,,,29,,,,basic,hailian
17,國立清華大學,国立清華大学,National Tsing Hua University,國立大學,新竹,300044新竹市光復路2段101號,886-3-5715131,https://www.nthu.edu.tw/,https://nthu-en.site.nthu.edu.tw/,○,○,https://oga.site.nthu.edu.tw/p/412-1524-18668.php?Lang=zh-tw,,,,,,34,,,,basic,hailian
02,國立成功大學,国立成功大学,National Cheng Kung University,國立大學,台南,701401臺南市大學路1號,886-6-2757575,https://web.ncku.edu.tw/index.php?Lang=zh-tw,https://web.ncku.edu.tw/index.php?Lang=en,○,○,https://oia.ncku.edu.tw/p/404-1032-229825.php?Lang=zh-tw,"NTD 120,000",約60万円,TOCFL A2,CEFR B2,,45,,,,enriched,hailian+spreadsheet
13,國立政治大學,国立政治大学,National Chengchi University,國立大學,台北,116011臺北市文山區指南路二段64號,886-2-29387892、29387893,https://www.nccu.edu.tw/,https://www.nccu.edu.tw/index.php?Lang=en,○,○,https://reurl.cc/Or5DDA,"NTD 200,000",約100万円,TOCFL A2（学部による）,TOEIC 550（学部による）,,43,,,,enriched,hailian+spreadsheet
09,國立臺灣海洋大學,国立台湾海洋大学,National Taiwan Ocean University,國立大學,その他,202301基隆市中正區北寧路2號,886-2-24622192 分機 1068,https://www.ntou.edu.tw,http://english.ntou.edu.tw,○,○,https://stu.ntou.edu.tw/p/412-1023-7798.php?Lang=zh-tw,,,,,,20,,,,basic,hailian
10,國立臺北大學,国立台北大学,National Taipei University,國立大學,新北,237303新北市三峽區大學路151號,886-2-86741111#66119,https://new.ntpu.edu.tw/,https://new.ntpu.edu.tw/,○,○,https://new.ntpu.edu.tw/oia/news,,,,,,20,,,,basic,hailian
05,國立中興大學,国立中興大学,National Chung Hsing University,國立大學,台中,402202臺中市南區興大路145號,886-4-22840216,https://www.nchu.edu.tw/,https://www.nchu.edu.tw/en-index,○,○,https://www.osa.nchu.edu.tw/osa/arm/,,,,,,40,,,,basic,hailian
06,國立中正大學,国立中正大学,National Chung Cheng University,國立大學,嘉義,621301嘉義縣民雄鄉大學路168號,886-5-2720411,https://www.ccu.edu.tw,https://www.ccu.edu.tw/?Lang=en,○,×,,,,,,,33,,,,basic,hailian
15,國立中央大學,国立中央大学,National Central University,國立大學,桃園,320317桃園市中壢區中大路300號,886-3-4227151分機57146,https://www.ncu.edu.tw,https://www.ncu.edu.tw,○,○,https://www.oia.ncu.edu.tw/index.php/tw/international-students-in-school-tw/overseas-chinese-related-links-tw/scholarship-and-bursary-tw.html,,,,,,29,,,,basic,hailian
